NAME OF HOSPITAL	LOCATION
Health Promotion Hospital, 10th Regional Health Promotion Center	Chiang Mai
Hot Hospital	Chiang Mai
Mae Ai Hospital	Chiang Mai
Mae Chaem Hospital	Chiang Mai
Mae On Hospital	Chiang Mai
Mae Taeng Hospital	Chiang Mai
Mae Wang Hospital	Chiang Mai
Maharaj Nakorn Chiang Mai Hospital	Chiang Mai
Nakhon Phing Hospital	Chiang Mai
Northern Drug Dependence Treatment Center	Chiang Mai
Om Koi Hospital	Chiang Mai
Phrao Hospital	Chiang Mai
Rajanagarindra Institute of Child Development	Chiang Mai
Royal Thai Air Force Wing 41 Hospital	Chiang Mai
Samoeng Hospital	Chiang Mai
San Kamphaeng Hospital	Chiang Mai
San Pa Tong Hospital	Chiang Mai
San Sai Hospital	Chiang Mai
Saraphi Hospital	Chiang Mai
Si Chiang Mai Hospital	Chiang Mai
Suanprung Psychiatric Hospital	Chiang Mai
Wat Chan Chaloem Phrakiat Hospital Marking His Majesty the King's 80th Birthday	Chiang Mai
Wiang Haeng Hospital	Chiang Mai
Chiang Khong Crown Prince Hospital	Chiang Rai
Chiang Saen Hospital	Chiang Rai
Chiangrai Prachanukroh Hospital	Chiang Rai
Fort Mengraimaharat Hospital	Chiang Rai
Khun Tan Hospital	Chiang Rai
Mae Chan Hospital	Chiang Rai
Mae Fa Luang Hospital	Chiang Rai
Mae Fah Luang University Hospital	Chiang Rai
Mae Lao Hospital	Chiang Rai
Mae Sai Hospital	Chiang Rai
Mae Suai Hospital	Chiang Rai
Pa Daed Hospital	Chiang Rai
Phan Hospital	Chiang Rai
Phaya Mengrai Hospital	Chiang Rai
Somdet Phra Yanasangwon Hospital	Chiang Rai
Thoeng Hospital	Chiang Rai
Wiang Chiang Rung Hospital	Chiang Rai
Wiang Kaen Hospital	Chiang Rai
Wiang Pa Pao Hospital	Chiang Rai
Abhakara Kiartivongse Hospital	Chonburi
Ao Udom Hospital	Chonburi
Ban Bueng Hospital	Chonburi
Bang Lamung Hospital	Chonburi
Bo Thong Hospital	Chonburi
Burapha University Health Science Center	Chonburi
Chonburi Cancer Center	Chonburi
Chonburi Hospital	Chonburi
Fort Nawamintharachini Hospital	Chonburi
Health Promotion Hospital, 3rd Regional Health Promotion Center	Chonburi
Ko Sichang Hospital	Chonburi
Medical Battalion, Royal Thai Marine Corps	Chonburi
Medical Section, Naval Rating School	Chonburi
Medical Section, Recruit Training Center	Chonburi
Nong Yai Hospital	Chonburi
Phan Thong Hospital	Chonburi
Phanat Nikhom Hospital	Chonburi
Queen Savang Vadhana Memorial Hospital	Chonburi
Queen Sirikit Naval Hospital	Chonburi
Sattahip km 10 Hospital	Chonburi
Wat Yannasang Wararam Hospital	Chonburi
Chumphon Khet Udomsak Hospital	Chumphon
Fort Khetudomsak Hospital	Chumphon
Lamae Hospital	Chumphon
Lang Suan Hospital	Chumphon
Map Ammarit Hospital	Chumphon
Na Pho Hospital	Chumphon
Pak Nam Chumphon Hospital	Chumphon
Pak Nam Lang Suan Hospital	Chumphon
Pathio Hospital	Chumphon
Phato Hospital	Chumphon
Sawi Hospital	Chumphon
Tha Sae Hospital	Chumphon
Thung Tako Hospital	Chumphon
Huai Mek Hospital	Kalasin
